chr10:100015109-100015443 LOXL4
chr11:7803241-7804154 OR5P3
chr1:178559613-178559936 ACBD6
chr1:179016392-179022016 XPR1
chr1:181575284-181575738 NMNAT2
chr11:82277695-82277812 PRCP
chr1:183081352-183087407 FAM129A
chr11:83142304-83145565 DLG2
chr11:83528143-83533538 DLG2
chr1:184033434-184033756 HMCN1
chr1:184050336-184051920 HMCN1
chr11:84880605-84880709 DLG2
chr11:84881384-84881456 DLG2
chr11:84926199-84928028 DLG2
chr11:84940676-84952423 DLG2
chr11:85107476-85149906 SYTL2
chr1:185170173-185170282 PLA2G4A
chr1:188576449-188578385 FAM5C
chr1:188592678-188593798 FAM5C
chr11:88604131-88607578 TYR
chr11:8979846-8980003 NRIP3
chr1:190404578-190405053 RGS18
chr11:91885646-91885949 FAT3
chr11:91961451-91961808 FAT3
chr11:9280217-9281226 TMEM41B
chr11:93524846-93524934 PANX1
chr11:93550452-93550891 PANX1
chr11:9482382-9483366 ZNF143
chr1:194984015-195068404 CFHR1
chr1:194984015-195068404 CFHR3
chr1:194997438-195081887 CFHR1
chr1:194997438-195081887 CFHR3
chr1:195003967-195013525 CFHR3
chr1:195006312-195016630 CFHR3
chr1:195006955-195091716 CFHR1
chr1:195006955-195091716 CFHR3
chr1:195013967-195016525 CFHR3
chr1:195022751-195024075 CFHR3
chr1:195024367-195025525 CFHR3
chr1:195028312-195031530 CFHR3
chr1:195028527-195030075 CFHR3
chr1:195058167-195064225 CFHR1
chr1:195058412-195060030 CFHR1
chr1:195060612-195068430 CFHR1
chr1:195064467-195066525 CFHR1
chr1:19519777-19520928 PQLC2
chr1:195535474-195536360 CRB1
chr11:9894977-9896305 SBF2
chr1:2014415-2017244 PRKCZ
chr1:201950932-201952854 ATP2B4
chr1:202053110-202054076 ZC3H11A
chr1:2031321-2031416 PRKCZ
chr1:205358986-205359816 C4BPA
chr1:208001959-208002699 TRAF3IP3
chr1:20804616-20805290 CDA
chr1:20805274-20806480 CDA
chr1:208351357-208356080 SYT14
chr1:208361927-208362245 SYT14
chr1:208789076-208791503 HHAT
chr1:209028638-209028960 KCNH1
chr12:100280435-100281088 UTP20
chr1:210031684-210032455 LPGAT1
chr12:100396798-100396848 SPIC
chr12:100626538-100631217 CHPT1
chr12:102363226-102371183 C12orf42
chr12:103254821-103256577 TXNRD1
chr12:103500122-103500216 CHST11
chr12:10473512-10474930 KLRC2
chr12:10476612-10478630 KLRC2
chr1:210537759-210539239 PPP2R5A
chr12:10632922-10633008 KLRA1
chr12:106526785-106526895 BTBD11
chr12:10704334-10704506 STYK1
chr12:107054630-107054682 WSCD2
chr12:107541450-107541809 SELPLG
chr12:109101014-109102205 IFT81
chr12:109805471-109807149 CCDC63
chr12:11005050-11005480 TAS2R14
chr12:110179434-110179594 CUTL2
chr12:110460657-110464392 ATXN2
chr12:110780865-110781546 MAPKAPK5
chr12:11117912-11127230 TAS2R14
chr12:11127712-11131530 TAS2R14
chr12:11132673-11133394 TAS2R14
chr12:11136514-11139237 TAS2R14
chr12:11139967-11141525 TAS2R14
chr12:11149792-11150105 TAS2R14
chr12:111787773-111787984 RPH3A
chr12:11179371-11179423 TAS2R14
chr12:112167495-112167813 TPCN1
chr12:11382504-11382591 PRB2
chr12:11398212-11402430 PRB2
chr12:11403212-11408530 PRB2
chr12:11406401-11445519 PRB2
chr12:11409212-11423230 PRB2
chr12:11429312-11435830 PRB2
chr12:116125354-116128019 NOS1
chr12:118386187-118386501 CCDC60
chr12:11917683-11918420 ETV6
chr12:11917690-11918167 ETV6
chr12:120714391-120714443 RHOF
chr12:120767247-120767763 HPD
chr12:120826602-120828367 PSMD9
chr12:12144095-12145913 BCL2L14
chr12:12144676-12145526 BCL2L14
chr12:12154606-12154938 BCL2L14
chr12:121576292-121576620 RSRC2
chr12:122400031-122400093 SBNO1
chr12:122803585-122803664 ATP6V0A2
chr12:123061940-123062043 ZNF664
chr12:123361770-123361889 FAM101A
chr12:123390099-123390230 NCOR2
chr12:1235838-1236630 ERC1
chr12:123900351-123900660 SCARB1
chr12:123999286-123999367 DHX37
chr12:12422748-12433753 LOH12CR1
chr12:124518448-124518773 TMEM132B
chr12:12501060-12501588 LOH12CR1
chr12:128150297-128150517 TMEM132D
chr12:128218403-128219774 TMEM132D
chr12:128321686-128324835 TMEM132D
chr12:128455109-128455807 TMEM132D
chr12:128624267-128628227 TMEM132D
chr12:128688979-128689118 TMEM132D
chr12:128861343-128864240 TMEM132D
chr12:128949614-128949927 TMEM132D
chr12:1308252-1308871 ERC1
chr12:132177220-132182222 ZNF140
chr12:13617173-13617820 GRIN2B
chr12:13832877-13832973 GRIN2B
chr12:13943591-13944085 GRIN2B
chr12:13978865-13979056 GRIN2B
chr1:214298101-214298629 USH2A
chr12:14836654-14836775 WBP11
chr12:15459595-15464889 PTPRO
chr1:215820698-215821000 GPATCH2
chr1:215984135-215984447 SPATA17
chr1:21659006-21659277 NBPF3
chr1:21660318-21660396 NBPF3
chr12:1734273-1734587 ADIPOR2
chr1:218352078-218352397 IARS2
chr1:218502997-218507508 RAB3GAP2
chr1:21884914-21884999 USP48
chr12:20670327-20670497 PDE3A
chr12:20776307-20777063 SLCO1C1
chr1:22088609-22088832 HSPG2
chr1:221127444-221127762 DISP1
chr12:2171257-2171312 CACNA1C
chr1:22180239-22204921 ELA3A
chr12:21938741-21938842 ABCC9
chr1:222882294-222884930 CNIH3
chr1:223411025-223411338 DNAH14
chr12:23686993-23687305 SOX5
chr12:23830789-23831355 SOX5
chr1:224069438-224069764 EPHX1
chr12:25176687-25177145 CASC1
chr1:225511604-225515940 CDC42BPA
chr1:225518677-225518967 CDC42BPA
chr1:225548888-225549205 CDC42BPA
chr1:226497945-226498553 OBSCN
chr12:29307843-29307921 MLSTD1
chr1:229369689-229369994 TRIM67
chr1:229386515-229388618 TRIM67
chr1:229413297-229413419 TRIM67
chr1:229602000-229612660 EGLN1
chr12:29735649-29737702 TMTC1
chr12:3013275-3013661 TEAD4
chr1:232352627-232352765 SLC35F3
chr1:232385268-232386370 SLC35F3
chr1:232653826-232654135 TARBP1
chr1:233365023-233365206 RBM34
chr1:233939351-233939886 LYST
chr1:234429497-234432673 GPR137B
chr12:3535218-3535312 PRMT8
chr12:38293157-38293483 ABCD2
chr12:38587976-38602075 SLC2A13
chr1:238822833-238823347 GREM2
chr12:39946084-39946400 PDZRN4
chr1:239975346-239975611 WDR64
chr12:40185712-40185957 PDZRN4
chr1:240665209-240665420 PLD5
chr1:241491979-241492274 SDCCAG8
chr1:241849369-241850386 AKT3
chr1:242704433-242704483 C1orf101
chr1:24275573-24275889 MYOM3
chr12:42781253-42781346 TMEM117
chr12:42872630-42880449 TMEM117
chr12:42978098-42979178 TMEM117
chr1:243069011-243069429 FAM36A
chr12:43297442-43297763 NELL2
chr1:243415706-243416192 KIF26B
chr12:43416358-43417401 NELL2
chr1:243703358-243714626 KIF26B
chr1:243925677-243925805 KIF26B
chr12:44033077-44033987 TMEM16F
chr1:244192589-244192778 SMYD3
chr1:244222497-244222919 SMYD3
chr1:244233906-244234002 SMYD3
chr12:44461434-44462419 ARID2
chr12:44917428-44918340 SLC38A1
chr1:245297790-245299562 ZNF670
chr1:245720381-245721825 OR2W5
chr1:245778889-245798807 C1orf150
chr1:246221188-246222210 OR2L13
chr1:246834512-246862330 OR2T11
chr12:4711483-4711558 GALNT8
chr12:4711512-4711584 GALNT8
chr1:24768248-24773372 C1orf130
chr12:478761-479104 B4GALNT3
chr1:24801383-24801668 C1orf130
chr12:48383540-48384787 FMNL3
chr12:49259984-49261783 DIP2B
chr12:49749401-49749806 FAM130A1
chr12:50083157-50083208 SLC4A8
chr12:50641025-50641157 ACVR1B
chr12:51372604-51373968 KRT77
chr12:53139761-53140075 FAM112B
chr1:25460369-25530459 RHD
chr1:25472912-25475130 RHD
chr1:25477212-25478930 RHD
chr1:25482612-25486530 RHD
chr1:25489412-25491930 RHD
chr1:25497512-25500330 RHD
chr1:25500812-25502930 RHD
chr1:25503512-25504930 RHD
chr1:25507912-25510630 RHD
chr1:25512212-25513630 RHD
chr1:25514612-25516430 RHD
chr12:55150229-55150987 SPRYD4
chr1:25517812-25520230 RHD
chr1:25604562-25608785 RHCE
chr1:25604664-25607037 RHCE
chr1:25605914-25607575 RHCE
chr12:58388658-58390214 SLC16A7
chr1:25978320-25978819 MAN1C1
chr12:60487061-60497251 FAM19A2
chr12:60680227-60680763 FAM19A2
chr12:61193740-61194134 MON2
chr12:61358024-61358079 PPM1H
chr12:61518669-61518996 PPM1H
chr12:62460549-62461111 TMEM5
chr12:6483598-6483659 NCAPD2
chr12:6558470-6558604 CHD4
chr12:69888625-69890740 TSPAN8
chr12:69998647-69998761 TSPAN8
chr12:70172832-70175920 LGR5
chr12:70529836-70530688 TBC1D15
chr12:70684074-70684576 TPH2
chr12:71011408-71011576 TRHDE
chr12:71026070-71026122 TRHDE
chr12:71263965-71264127 TRHDE
chr12:737062-745044 WNK1
chr12:76900130-76900314 NAV3
chr12:77093625-77093731 NAV3
chr12:78231796-78232109 SYT1
chr12:79138491-79138666 C12orf64
chr1:28200543-28200642 EYA3
chr12:83796691-83797787 SLC6A15
chr1:28423915-28426668 DNAJC8
chr12:84950235-84957046 MGAT4C
chr12:8516846-8517156 CLEC6A
chr12:8785026-8790417 FAM80B
chr12:8908108-8909134 A2ML1
chr12:91734689-91735212 EEA1
chr1:29177033-29178830 EPB41
chr12:93083476-93084203 PLXNC1
chr12:93193464-93193786 PLXNC1
chr12:97970338-97970665 ANKS1B
chr12:98318079-98326901 ANKS1B
chr12:98318212-98320930 ANKS1B
chr12:98323212-98326930 ANKS1B
chr12:98342323-98344169 ANKS1B
chr12:98812473-98815952 ANKS1B
chr12:99158268-99164000 DEPDC4
chr12:99200091-99200391 SCYL2
chr12:99460740-99468625 NR1H4
chr12:99943677-99947427 TMEM16D
chr13:100692145-100694425 NALCN
chr13:100704945-100705263 NALCN
chr13:101433424-101433497 FGF14
chr13:101684525-101684790 FGF14
chr13:107745018-107749794 TNFSF13B
chr13:108065191-108065252 MYO16
chr13:108159747-108160438 MYO16
chr13:110127773-110128092 CARS2
chr13:112727110-112727379 MCF2L
chr13:113039048-113039117 GRTP1
chr13:113171988-113172106 DCUN1D2
chr13:113216744-113216961 TMCO3
chr13:113565280-113568764 GAS6
chr13:113607303-113608382 FAM70B
chr13:113782614-113782693 RASA3
chr13:19240608-19241431 PSPC1
chr13:19548110-19549777 ZMYM2
chr13:20627290-20627831 C13orf3
chr13:20627951-20630060 C13orf3
chr13:20628902-20629223 C13orf3
chr13:20630262-20632037 C13orf3
chr13:20644643-20648512 C13orf3
chr13:24168547-24168883 ATP12A
chr13:25347368-25347881 ATP8A2
chr13:29941602-29941824 HMGB1
chr13:32661495-32661585 STARD13
chr13:34456631-34462872 NBEA
chr13:34592800-34592961 NBEA
chr13:35336405-35336722 DCLK1
chr13:35519764-35523750 DCLK1
chr1:33801317-33802327 CSMD2
chr13:38277286-38281416 FREM2
chr13:42699078-42699149 ENOX1
chr1:34340762-34340856 CSMD2
chr13:43940433-43941105 TSC22D1
chr13:44686858-44687111 GTF2F2
chr13:45617753-45618078 LCP1
chr13:48849403-48851863 CAB39L
chr13:50749909-50749994 FAM124A
chr13:52179435-52179546 LECT1
chr1:36358524-36359861 COL8A2
chr13:69299968-69304789 KLHL1
chr13:69357060-69357373 KLHL1
chr13:78100993-78106499 C13orf7
chr1:37980833-37980995 EPHA10
chr13:96901893-96906409 RAP2A
chr13:98421704-98421838 DOCK9
chr13:98476266-98476352 DOCK9
chr13:99187397-99187449 CLYBL
chr1:40324965-40326275 PPT1
chr14:101459896-101460017 PPP2R5C
chr14:101581481-101581547 DYNC1H1
chr14:101642858-101644890 HSP90AA2
chr14:102176641-102179799 RCOR1
chr14:102349253-102349306 TRAF3
chr14:103535734-103535869 TDRD9
chr1:41441202-41441281 SCMH1
chr14:20848027-20848241 RPGRIP1
chr14:21022465-21024502 TOX4
chr14:30883628-30883801 HEATR5A
chr14:32505532-32505754 NPAS3
chr14:33011494-33012027 NPAS3
chr14:34373878-34376558 BAZ1A
chr1:43630043-43630378 KIAA0467
chr1:43781955-43782517 PTPRF
chr14:44757809-44757876 C14orf106
chr14:46503864-46504175 MDGA2
chr1:44793765-44794849 C1orf164
chr14:49188621-49188777 POLE2
chr14:50589964-50590281 TRIM9
chr14:51231379-51231652 FRMD6
chr14:52095979-52101402 GPR137C
chr14:52322217-52324829 GNPNAT1
chr14:54820958-54821776 FBXO34
chr14:56937991-56938395 NAT12
chr1:45979874-45980185 IPP
chr14:62793497-62794660 RHOJ
chr14:63396676-63396742 SYNE2
chr14:66477551-66477609 GPHN
chr14:67001773-67001923 C14orf83
chr14:67446758-67446909 RAD51L1
chr14:67672785-67673484 RAD51L1
chr14:69642363-69644619 SLC8A3
chr14:69757586-69759206 C14orf112
chr14:69759806-69759993 C14orf112
chr14:70605106-70605309 PCNX
chr14:72402705-72403559 DPF3
chr14:72615512-72616675 RBM25
chr14:73066362-73095035 ACOT1
chr14:73066362-73095035 HEATR4
chr14:73066412-73073930 ACOT1
chr14:73066412-73073930 HEATR4
chr14:73067467-73069525 HEATR4
chr14:73069967-73071825 HEATR4
chr14:73071967-73076525 ACOT1
chr14:73071967-73076525 HEATR4
chr14:73074412-73076930 ACOT1
chr14:73074412-73076930 HEATR4
chr14:73077367-73079525 ACOT1
chr14:73077367-73079525 HEATR4
chr14:73080112-73085930 ACOT1
chr14:73080112-73085930 HEATR4
chr14:73081967-73085625 HEATR4
chr14:73086412-73094230 HEATR4
chr14:73086567-73088525 HEATR4
chr14:73088967-73094025 HEATR4
chr14:73154780-73155088 ACOT6
chr14:73309549-73316689 C14orf43
chr14:75968700-75968926 ESRRB
chr14:76344532-76344623 ANGEL1
chr14:77364912-77366829 ADCK1
chr14:78228900-78235446 NRXN3
chr14:78416046-78416357 NRXN3
chr14:78417085-78419049 NRXN3
chr14:78624044-78624647 NRXN3
chr14:79023704-79023804 NRXN3
chr14:79050940-79051744 NRXN3
chr14:79176042-79184802 NRXN3
chr14:79176252-79178500 NRXN3
chr14:79181712-79183030 NRXN3
chr14:79295324-79300119 NRXN3
chr14:80608849-80609140 TSHR
chr14:80668039-80668119 TSHR
chr1:48841463-48842096 AGBL4
chr14:89719730-89720107 KCNK13
chr14:90236783-90236877 TTC7B
chr14:91029284-91030146 SMEK1
chr14:92024516-92024668 SLC24A4
chr1:49676013-49676077 AGBL4
chr14:99793648-99793724 YY1
chr1:50243712-50257253 AGBL4
chr1:51687740-51690043 EPS15
chr15:20617836-20617969 NIPA1
chr15:23482491-23483470 ATP10A
chr15:23483812-23483877 ATP10A
chr15:25708816-25708880 OCA2
chr15:27198767-27199188 APBA2
chr15:27870556-27871559 TJP1
chr15:31987740-31988006 AVEN
chr1:53366605-53368174 SLC1A7
chr1:53366686-53367536 SLC1A7
chr1:53367714-53368191 SLC1A7
chr15:38845752-38845827 GCHFR
chr15:38886006-38887610 DNAJC17
chr15:38886006-38887610 ZFYVE19
chr15:39642206-39643670 TYRO3
chr15:39647853-39648418 TYRO3
chr15:39649646-39649728 TYRO3
chr15:39651170-39651915 TYRO3
chr15:39652055-39652491 TYRO3
chr15:39652957-39653167 TYRO3
chr15:39805028-39805359 MGA
chr15:40880652-40880808 TTBK2
chr1:54140236-54142318 DIO1
chr15:41924350-41926144 WDR76
chr15:46232483-46232533 MYEF2
chr15:46337554-46337873 SLC12A1
chr15:46354850-46357515 SLC12A1
chr15:47332156-47335146 GALK2
chr15:48534465-48534957 USP8
chr1:54864862-54868554 ACOT11
chr1:54865467-54866525 ACOT11
chr15:48708646-48709087 TRPM7
chr15:49684994-49685332 DMXL2
chr15:49771401-49771454 SCG3
chr15:49776667-49776779 SCG3
chr1:55060140-55060457 C1orf177
chr1:55073584-55078141 C1orf177
chr15:53442830-53444353 CCPG1
chr15:54235236-54236202 RFXDC2
chr15:54316449-54319697 RFXDC2
chr15:56069401-56069506 ALDH1A2
chr15:58580603-58580662 RORA
chr15:58697044-58697310 RORA
chr15:60735077-60735212 TLN2
chr15:60742842-60744366 TLN2
chr15:62630841-62631266 ZNF609
chr15:63424629-63425678 PUNC
chr15:64493591-64493737 MAP2K1
chr15:65191742-65192672 SMAD3
chr15:65655376-65656391 MAP2K5
chr15:66205377-66206224 PIAS1
chr15:66500393-66500612 ITGA11
chr15:67314733-67314833 GLCE
chr15:67401468-67402501 PAQR5
chr15:68808894-68814562 UACA
chr15:68814733-68840236 UACA
chr15:69261466-69264991 THSD4
chr15:69495664-69500744 THSD4
